"","year","ctrdegree","ctrclose","ctreigen"
"2",2000,0.511908177905309,0.00643607236459441,0
"3",2001,0.490013006317354,0.00717403032524289,0
"4",2002,0.489920104050539,0.0260163140126467,0.956521739130435
"5",2003,0.453426199521598,0.0046165639062411,0
"6",2004,0.475780359990886,0.00450355293365626,0
"7",2005,0.462652178859939,0.00570852805005485,0.941176470588235
"8",2006,0.426919720767888,0.00631913092321962,0
"9",2007,0.398964261908424,0.00658158658305763,0
"10",2008,0.474094677137871,0.0168627934718265,0.753926701570681
"11",2009,0.453789659224442,0.00545548373388156,0
"12",2010,0.508107641883733,0.0124007420331058,0.692733386148077
"13",2011,0.468637647663071,0.00807637350048047,0
"14",2012,0.482393196465351,0.0107548522662592,0
"15",2013,0.468177339901478,0.00694380279282181,0
