"","countryname","year","degree","closenessvalue","eigen","hubs","authority"
"Afghanistan","Afghanistan",2000,3,0.0015748031496063,0.0492342914009336,0.0492342914009332,0.0492342914009332
"Albania","Albania",2000,3,0.00198412698412698,0.122354453507564,0.122354453507563,0.122354453507563
"Algeria","Algeria",2000,3,0.00208768267223382,0.122483411341722,0.122483411341721,0.122483411341721
"Angola","Angola",2000,3,0.0017825311942959,0.0837293272036956,0.0837293272036948,0.0837293272036948
"Anguilla","Anguilla",2000,2,0.00151285930408472,0.0388409149168378,0.0388409149168375,0.0388409149168375
"Antigua & Barbuda","Antigua & Barbuda",2000,3,0.00199203187250996,0.123300688929425,0.123300688929424,0.123300688929424
"Argentina","Argentina",2000,3,0.0020703933747412,0.142874980236696,0.142874980236695,0.142874980236695
"Armenia","Armenia",2000,3,0.00204081632653061,0.152240519445612,0.152240519445611,0.152240519445611
"Aruba","Aruba",2000,1,0.00174520069808028,0.0750942348036711,0.0750942348036705,0.0750942348036705
"Australia","Australia",2000,25,0.0017636684303351,0.153271574215351,0.15327157421535,0.15327157421535
"Austria","Austria",2000,8,0.00169204737732657,0.050063684582423,0.0500636845824229,0.0500636845824229
"Azerbaijan","Azerbaijan",2000,3,0.00193798449612403,0.120644286649931,0.12064428664993,0.12064428664993
"Bahamas","Bahamas",2000,3,0.00210970464135021,0.122684265879751,0.12268426587975,0.12268426587975
"Bahrain","Bahrain",2000,3,0.00154320987654321,0.0464839745346127,0.0464839745346123,0.0464839745346123
"Bangladesh","Bangladesh",2000,3,0.00175438596491228,0.0503081510192203,0.05030815101922,0.05030815101922
"Barbados","Barbados",2000,3,0.00197628458498024,0.107421727668752,0.107421727668751,0.107421727668751
"Belarus","Belarus",2000,3,0.00204918032786885,0.114728376962448,0.114728376962448,0.114728376962448
"Belgium","Belgium",2000,6,0.0016,0.0297505613771671,0.0297505613771671,0.0297505613771671
"Belize","Belize",2000,3,0.00167785234899329,0.0467311945969589,0.0467311945969585,0.0467311945969585
"Benin","Benin",2000,3,0.0016025641025641,0.0450501625010871,0.0450501625010867,0.0450501625010867
"Bermuda","Bermuda",2000,1,0.00130378096479791,0.0122776516411867,0.0122776516411866,0.0122776516411866
"Bhutan","Bhutan",2000,3,0.00154798761609907,0.0433833430894119,0.0433833430894115,0.0433833430894115
"Bolivia","Bolivia",2000,3,0.00204081632653061,0.152240519445612,0.152240519445611,0.152240519445611
