"","year","ctrdegree","ctrclose","ctreigen"
"2",2000,0.499306551889048,0.344639966381234,0.902161958141926
"3",2001,0.47761055369751,0.326791510366505,0.896464445583741
"4",2002,0.482255667038276,0.413062142626743,0.903406472427569
"5",2003,0.440832981567469,0.242975271036707,0.879380436405995
"6",2004,0.463522442469811,0.253890888813928,0.884279363459962
"7",2005,0.449368528842872,0.260223241706552,0.885746323050026
"8",2006,0.414048865619546,0.0444141237208094,0.885795311262459
"9",2007,0.391837153258473,0.289320401775521,0.882500486964479
"10",2008,0.461332897033159,0.298922612200938,0.900135396099231
"11",2009,0.440188014101058,0.287973935814734,0.891947284631201
"12",2010,0.494767408429648,0.0932231243815609,0.88797065968315
"13",2011,0.454320749871597,0.311043437178822,0.877218177562692
"14",2012,0.467676566341107,0.346846798897391,0.870195231742
"15",2013,0.4535960591133,0.272256607885591,0.875498398973364
