"","countryname","year","degree","centrality","hubs"
"Denmark","Denmark",1947,0,0.05,0
"France","France",1947,0,0.05,0
"IBRD","IBRD",1947,4,0.25,1
"Luxembourg","Luxembourg",1947,0,0.05,0
"Netherlands","Netherlands",1947,0,0.05,0
"Chile","Chile",1948,0,0.166666666666667,0
"IBRD1","IBRD",1948,2,0.5,1
"Netherlands1","Netherlands",1948,0,0.166666666666667,0
"Belgium","Belgium",1949,0,0.0111111111111111,0
"Brazil","Brazil",1949,0,0.0111111111111111,0
"Colombia","Colombia",1949,0,0.0111111111111111,0
"El Salvador","El Salvador",1949,0,0.0111111111111111,0
"Finland","Finland",1949,0,0.0111111111111111,0
"IBRD2","IBRD",1949,9,0.111111111111111,1
"India","India",1949,0,0.0111111111111111,0
"Mexico","Mexico",1949,0,0.0111111111111111,0
"Netherlands2","Netherlands",1949,0,0.0111111111111111,0
"Yugoslavia","Yugoslavia",1949,0,0.0111111111111111,0
"Australia","Australia",1950,0,0.00909090909090909,0
"Brazil1","Brazil",1950,0,0.00909090909090909,0
"Colombia1","Colombia",1950,0,0.00909090909090909,0
"Ethiopia","Ethiopia",1950,0,0.00909090909090909,0
"IBRD3","IBRD",1950,10,0.1,1
"India1","India",1950,0,0.00909090909090909,0
"Iraq","Iraq",1950,0,0.00909090909090909,0
"Mexico1","Mexico",1950,0,0.00909090909090909,0
"Thailand","Thailand",1950,0,0.00909090909090909,0
"Turkey","Turkey",1950,0,0.00909090909090909,0
"Uruguay","Uruguay",1950,0,0.00909090909090909,0
"Belgium1","Belgium",1951,0,0.00641025641025641,0
"Brazil2","Brazil",1951,0,0.00641025641025641,0
"Chile1","Chile",1951,0,0.00641025641025641,0
"Colombia2","Colombia",1951,0,0.00641025641025641,0
"Congo, Democratic Republic of","Congo, Democratic Republic of",1951,0,0.00641025641025641,0
"Ethiopia1","Ethiopia",1951,0,0.00641025641025641,0
"IBRD4","IBRD",1951,12,0.0833333333333333,1
"Iceland","Iceland",1951,0,0.00641025641025641,0
"Italy","Italy",1951,0,0.00641025641025641,0
"Nicaragua","Nicaragua",1951,0,0.00641025641025641,0
"Paraguay","Paraguay",1951,0,0.00641025641025641,0
"South Africa","South Africa",1951,0,0.00641025641025641,0
"Yugoslavia1","Yugoslavia",1951,0,0.00641025641025641,0
"Australia1","Australia",1952,0,0.00641025641025641,0
"Brazil3","Brazil",1952,0,0.00641025641025641,0
"Colombia3","Colombia",1952,0,0.00641025641025641,0
"Finland1","Finland",1952,0,0.00641025641025641,0
"IBRD5","IBRD",1952,12,0.0833333333333333,1
"Iceland1","Iceland",1952,0,0.00641025641025641,0
"India2","India",1952,0,0.00641025641025641,0
"Mexico2","Mexico",1952,0,0.00641025641025641,0
"Netherlands3","Netherlands",1952,0,0.00641025641025641,0
"Pakistan","Pakistan",1952,0,0.00641025641025641,0
"Peru","Peru",1952,0,0.00641025641025641,0
"Turkey1","Turkey",1952,0,0.00641025641025641,0
"Zimbabwe","Zimbabwe",1952,0,0.00641025641025641,0
"Brazil4","Brazil",1953,0,0.00549450549450549,0
"Chile2","Chile",1953,0,0.00549450549450549,0
"Colombia4","Colombia",1953,0,0.00549450549450549,0
"IBRD6","IBRD",1953,13,0.0769230769230769,1
"Iceland2","Iceland",1953,0,0.00549450549450549,0
"India3","India",1953,0,0.00549450549450549,0
"Italy1","Italy",1953,0,0.00549450549450549,0
"Japan","Japan",1953,0,0.00549450549450549,0
"Nicaragua1","Nicaragua",1953,0,0.00549450549450549,0
"Panama","Panama",1953,0,0.00549450549450549,0
"South Africa1","South Africa",1953,0,0.00549450549450549,0
"Turkey2","Turkey",1953,0,0.00549450549450549,0
"Yugoslavia2","Yugoslavia",1953,0,0.00549450549450549,0
"Zambia","Zambia",1953,0,0.00549450549450549,0
"Australia2","Australia",1954,0,0.00292397660818713,0
"Austria","Austria",1954,0,0.00292397660818713,0
"Belgium2","Belgium",1954,0,0.00292397660818713,0
"Brazil5","Brazil",1954,0,0.00292397660818713,0
"Burkina Faso","Burkina Faso",1954,0,0.00292397660818713,0
"Colombia5","Colombia",1954,0,0.00292397660818713,0
"Cote d`Ivoire","Cote d`Ivoire",1954,0,0.00292397660818713,0
"Ecuador","Ecuador",1954,0,0.00292397660818713,0
"El Salvador1","El Salvador",1954,0,0.00292397660818713,0
"IBRD7","IBRD",1954,18,0.0555555555555556,1
"India4","India",1954,0,0.00292397660818713,0
"Mali","Mali",1954,0,0.00292397660818713,0
"Mexico3","Mexico",1954,0,0.00292397660818713,0
"Norway","Norway",1954,0,0.00292397660818713,0
"Pakistan1","Pakistan",1954,0,0.00292397660818713,0
"Peru1","Peru",1954,0,0.00292397660818713,0
"Senegal","Senegal",1954,0,0.00292397660818713,0
"Sri Lanka","Sri Lanka",1954,0,0.00292397660818713,0
"Turkey3","Turkey",1954,0,0.00292397660818713,0
"Algeria","Algeria",1955,0,0.00263157894736842,2.77555756156289e-17
"Australia3","Australia",1955,0,0.00263157894736842,2.77555756156289e-17
"Austria1","Austria",1955,0,0.00263157894736842,2.77555756156289e-17
"Colombia6","Colombia",1955,0,0.00263157894736842,2.77555756156289e-17
"Finland2","Finland",1955,0,0.00263157894736842,2.77555756156289e-17
"Guatemala","Guatemala",1955,0,0.00263157894736842,2.77555756156289e-17
"Honduras","Honduras",1955,0,0.00263157894736842,2.77555756156289e-17
"IBRD8","IBRD",1955,19,0.0526315789473684,1
"India5","India",1955,0,0.00263157894736842,2.77555756156289e-17
"Italy2","Italy",1955,0,0.00263157894736842,2.77555756156289e-17
"Japan1","Japan",1955,0,0.00263157894736842,2.77555756156289e-17
"Lebanon","Lebanon",1955,0,0.00263157894736842,2.77555756156289e-17
"Nicaragua2","Nicaragua",1955,0,0.00263157894736842,2.77555756156289e-17
"Norway1","Norway",1955,0,0.00263157894736842,2.77555756156289e-17
"Pakistan2","Pakistan",1955,0,0.00263157894736842,2.77555756156289e-17
"Panama1","Panama",1955,0,0.00263157894736842,2.77555756156289e-17
"Peru2","Peru",1955,0,0.00263157894736842,2.77555756156289e-17
"South Africa2","South Africa",1955,0,0.00263157894736842,2.77555756156289e-17
"Thailand1","Thailand",1955,0,0.00263157894736842,2.77555756156289e-17
"Uruguay1","Uruguay",1955,0,0.00263157894736842,2.77555756156289e-17
"Australia4","Australia",1956,0,0.00326797385620915,0
"Austria2","Austria",1956,0,0.00326797385620915,0
"Colombia7","Colombia",1956,0,0.00326797385620915,0
"Costa Rica","Costa Rica",1956,0,0.00326797385620915,0
"Ecuador1","Ecuador",1956,0,0.00326797385620915,0
"Finland3","Finland",1956,0,0.00326797385620915,0
"Haiti","Haiti",1956,0,0.00326797385620915,0
"IBRD9","IBRD",1956,17,0.0588235294117647,1
"India6","India",1956,0,0.00326797385620915,0
"Italy3","Italy",1956,0,0.00326797385620915,0
"Japan2","Japan",1956,0,0.00326797385620915,0
"Myanmar","Myanmar",1956,0,0.00326797385620915,0
"Nicaragua3","Nicaragua",1956,0,0.00326797385620915,0
"Norway2","Norway",1956,0,0.00326797385620915,0
"Thailand2","Thailand",1956,0,0.00326797385620915,0
"Uruguay2","Uruguay",1956,0,0.00326797385620915,0
"Zambia1","Zambia",1956,0,0.00326797385620915,0
"Zimbabwe1","Zimbabwe",1956,0,0.00326797385620915,0
"Austria3","Austria",1957,0,0.00367647058823529,0
"Belgium3","Belgium",1957,0,0.00367647058823529,0
"Burundi","Burundi",1957,0,0.00367647058823529,0
"Chile3","Chile",1957,0,0.00367647058823529,0
"Congo, Democratic Republic of1","Congo, Democratic Republic of",1957,0,0.00367647058823529,0
"Ecuador2","Ecuador",1957,0,0.00367647058823529,0
"Ethiopia2","Ethiopia",1957,0,0.00367647058823529,0
"IBRD10","IBRD",1957,16,0.0625,1
"India7","India",1957,0,0.00367647058823529,0
"Iran","Iran",1957,0,0.00367647058823529,0
"Japan3","Japan",1957,0,0.00367647058823529,0
"Netherlands4","Netherlands",1957,0,0.00367647058823529,0
"Pakistan3","Pakistan",1957,0,0.00367647058823529,0
"Peru3","Peru",1957,0,0.00367647058823529,0
"Philippines","Philippines",1957,0,0.00367647058823529,0
"South Africa3","South Africa",1957,0,0.00367647058823529,0
"Thailand3","Thailand",1957,0,0.00367647058823529,0
"Austria4","Austria",1958,0,0.00292397660818713,0
"Brazil6","Brazil",1958,0,0.00292397660818713,0
"Colombia8","Colombia",1958,0,0.00292397660818713,0
"Ecuador3","Ecuador",1958,0,0.00292397660818713,0
"Honduras1","Honduras",1958,0,0.00292397660818713,0
"IBRD11","IBRD",1958,18,0.0555555555555556,1
"India8","India",1958,0,0.00292397660818713,0
"Italy4","Italy",1958,0,0.00292397660818713,0
"Japan4","Japan",1958,0,0.00292397660818713,0
"Malaysia","Malaysia",1958,0,0.00292397660818713,0
"Mexico4","Mexico",1958,0,0.00292397660818713,0
"Nigeria","Nigeria",1958,0,0.00292397660818713,0
"Pakistan4","Pakistan",1958,0,0.00292397660818713,0
"Peru4","Peru",1958,0,0.00292397660818713,0
"South Africa4","South Africa",1958,0,0.00292397660818713,0
"Sri Lanka1","Sri Lanka",1958,0,0.00292397660818713,0
"Sudan","Sudan",1958,0,0.00292397660818713,0
"Zambia2","Zambia",1958,0,0.00292397660818713,0
"Zimbabwe2","Zimbabwe",1958,0,0.00292397660818713,0
"Algeria1","Algeria",1959,0,0.00216450216450216,6.93889390390723e-18
"Austria5","Austria",1959,0,0.00216450216450216,6.93889390390723e-18
"Bangladesh","Bangladesh",1959,0,0.00216450216450216,6.93889390390723e-18
"Brazil7","Brazil",1959,0,0.00216450216450216,6.93889390390723e-18
"Chile4","Chile",1959,0,0.00216450216450216,6.93889390390723e-18
"Colombia9","Colombia",1959,0,0.00216450216450216,6.93889390390723e-18
"Costa Rica1","Costa Rica",1959,0,0.00216450216450216,6.93889390390723e-18
"Denmark1","Denmark",1959,0,0.00216450216450216,6.93889390390723e-18
"Egypt","Egypt",1959,0,0.00216450216450216,6.93889390390723e-18
"El Salvador2","El Salvador",1959,0,0.00216450216450216,6.93889390390723e-18
"Finland4","Finland",1959,0,0.00216450216450216,6.93889390390723e-18
"Gabon","Gabon",1959,0,0.00216450216450216,6.93889390390723e-18
"Honduras2","Honduras",1959,0,0.00216450216450216,6.93889390390723e-18
"IBRD12","IBRD",1959,21,0.0476190476190476,1
"India9","India",1959,0,0.00216450216450216,6.93889390390723e-18
"Iran1","Iran",1959,0,0.00216450216450216,6.93889390390723e-18
"Italy5","Italy",1959,0,0.00216450216450216,6.93889390390723e-18
"Japan5","Japan",1959,0,0.00216450216450216,6.93889390390723e-18
"Norway3","Norway",1959,0,0.00216450216450216,6.93889390390723e-18
