"","countryname","year","degree","centrality","hubs","authority"
"Bahrain","Bahrain",1971,0,5.87199060481503e-05,1.80411241501588e-16,1
"Iraq","Iraq",1971,0,5.87199060481503e-05,1.80411241501588e-16,1
"Kuwait","Kuwait",1971,5,6.10500610500611e-05,1,6.20633538311819e-16
"Sudan","Sudan",1971,0,5.87199060481503e-05,1.80411241501588e-16,1
"Syria","Syria",1971,0,5.87199060481503e-05,1.80411241501588e-16,1
"Yemen","Yemen",1971,0,5.87199060481503e-05,1.80411241501588e-16,1
"United States","United States",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Canada","Canada",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Cuba","Cuba",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Haiti","Haiti",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Dominican Republic","Dominican Republic",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Jamaica","Jamaica",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Trinidad & Tobago","Trinidad & Tobago",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Barbados","Barbados",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Mexico","Mexico",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Guatemala","Guatemala",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Honduras","Honduras",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"El Salvador","El Salvador",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Nicaragua","Nicaragua",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Costa Rica","Costa Rica",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Panama","Panama",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Colombia","Colombia",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Venezuela","Venezuela",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Guyana","Guyana",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Ecuador","Ecuador",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Peru","Peru",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Brazil","Brazil",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Bolivia","Bolivia",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Paraguay","Paraguay",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Chile","Chile",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Argentina","Argentina",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Uruguay","Uruguay",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"United Kingdom","United Kingdom",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Ireland","Ireland",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Netherlands","Netherlands",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Belgium","Belgium",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Luxembourg","Luxembourg",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"France","France",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Spain","Spain",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Portugal","Portugal",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Poland","Poland",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
"Austria","Austria",1971,0,5.87199060481503e-05,1.80411241501588e-16,1.24126707662364e-16
