recipient,recipient_abbr,category
"Africa, Regional Programs, Regional Programs",Africa,0
"Africa, South of Sahara, Regional Programs",SubSahara,0
Angola,Angola,1
Benin,Benin,1
Botswana,Botswana,1
Burkina Faso,Burkina Faso,1
Burundi,Burundi,1
Cameroon,Cameroon,1
Cape Verde,Cape Verde,1
Central African Republic,Central African Republic,1
Chad,Chad,1
"Congo, Democratic Republic of","Congo, Democratic Republic of",1
"Congo, Republic of","Congo, Republic of",1
Cote d`Ivoire,Cote d`Ivoire,1
Djibouti,Djibouti,1
Eritrea,Eritrea,1
Ethiopia,Ethiopia,1
Gabon,Gabon,1
Gambia,Gambia,1
Ghana,Ghana,1
Guinea,Guinea,1
Guinea-Bissau,Guinea-Bissau,1
Kenya,Kenya,1
Lesotho,Lesotho,1
Madagascar,Madagascar,1
Malawi,Malawi,1
Mali,Mali,1
Mauritania,Mauritania,1
Mozambique,Mozambique,1
Namibia,Namibia,1
Niger,Niger,1
Nigeria,Nigeria,1
Rwanda,Rwanda,1
Sao Tome & Principe,Sao Tome & Principe,1
Senegal,Senegal,1
Sierra Leone,Sierra Leone,1
Swaziland,Swaziland,1
Tanzania,Tanzania,1
Uganda,Uganda,1
Zambia,Zambia,1
Zimbabwe,Zimbabwe,1
no value,no value,0
"Africa, North of Sahara, Regional Programs",North Africa,0
Algeria,Algeria,1
"Arab Countries, Regional Programs, Regional Programs",Arab Countries,0
Comoros,Comoros,1
Egypt,Egypt,1
Equatorial Guinea,Equatorial Guinea,1
Global,Global,1
Liberia,Liberia,1
Libya,Libya,1
Mauritius,Mauritius,1
Morocco,Morocco,1
Seychelles,Seychelles,1
Somalia,Somalia,1
South Africa,South Africa,1
Sudan,Sudan,1
Togo,Togo,1
Tunisia,Tunisia,1
South Sudan,South Sudan,1
"America, Regional Programs, Regional Programs",America,0
Argentina,Argentina,1
Bolivia,Bolivia,1
Brazil,Brazil,1
Chile,Chile,1
Colombia,Colombia,1
Costa Rica,Costa Rica,1
